location_country,date_year,stem_percent_female_graduates
Colombia,2002,36.78437042
Colombia,2004,38.00915909
Colombia,2005,36.78459167
Colombia,2006,36.55031967
Colombia,2007,37.66849136
Colombia,2008,26.67935944
Colombia,2009,36.84589005
Colombia,2011,34.28125
Colombia,2012,33.8652916
Colombia,2013,33.99571991
Colombia,2014,33.71184921
Comoros,1999,36
Costa Rica,2001,31.70731926
Costa Rica,2002,29.64839935
Costa Rica,2007,31.20019913
Costa Rica,2010,28.65000916
Costa Rica,2011,31.60967064
Costa Rica,2013,32.18143082
Costa Rica,2014,33.95294952
Croatia,1999,33.95246887
Croatia,2001,38.53792953
Croatia,2002,35.98450851
Croatia,2003,34.78387833
Croatia,2005,32.73299026
Croatia,2006,35.26544189
Croatia,2007,34.94208145
Croatia,2008,33.17650986
Croatia,2009,34.0414505
Croatia,2010,37.59606171
Croatia,2012,34.55828094
Cuba,2012,39.91672134
Cuba,2013,39.12419128
Cyprus,1999,38.73625946
Cyprus,2002,35.38874054
Cyprus,2003,27.63818932
Cyprus,2004,37.12445831
Cyprus,2006,35.94041061
Cyprus,2007,31.51184082
Cyprus,2008,37.40602112
Cyprus,2009,36.99515152
Cyprus,2010,39.28570938
Cyprus,2011,32.90890884
Cyprus,2012,48.67924881
Cyprus,2013,38.58921051
Cyprus,2014,38.04347992
Czechia,1999,25.38351059
Czechia,2000,26.95019913
Czechia,2001,27.12289047
Czechia,2002,28.62083054
Czechia,2003,29.26898003
Czechia,2004,29.37056923
Czechia,2005,27.37770081
Czechia,2006,26.48130035
Czechia,2007,29.27652931
Czechia,2008,30.05314064
Czechia,2009,30.98744965
Czechia,2010,29.79943085
Czechia,2011,32.03683853
Czechia,2012,32.37440872
Czechia,2013,32.75289917
Czechia,2014,32.64995956
Denmark,1999,30.5017395
Denmark,2000,31.97732925
Denmark,2001,28.54777908
Denmark,2002,28.52055931
Denmark,2003,30.28936958
Denmark,2004,32.27478027
Denmark,2005,33.93027878
Denmark,2006,34.09907913
Denmark,2007,35.97476959
Denmark,2008,36.37963104
Denmark,2009,36.49792862
Denmark,2010,36.69908142
Denmark,2011,37.92359924
Denmark,2012,37.24924088
Denmark,2013,35.33712006
Denmark,2014,36.01710129
Dominican Republic,2012,34.97848129
Dominican Republic,2014,40.19034958
Ecuador,2007,35.12593842
Ecuador,2008,31.89454079
Ecuador,2012,29.68829918
Ecuador,2013,26.13368988
Egypt,2013,33.99860001
Egypt,2014,37.36547852
El Salvador,2002,32.91781998
El Salvador,2003,34.72834015
El Salvador,2005,34.30947876
El Salvador,2006,32.53221893
El Salvador,2007,34.3539505
El Salvador,2008,34.21472931
El Salvador,2009,31.20054054
El Salvador,2010,31.17373085
El Salvador,2011,29.56484985
El Salvador,2012,28.61123085
El Salvador,2013,28.09523964
El Salvador,2014,24.81648064
Eritrea,1999,9.41176033
Eritrea,2000,8.08823967
Eritrea,2002,3.191489935
Eritrea,2003,8.787879944
Eritrea,2004,7.98319006
Eritrea,2014,20.90628052
Estonia,1999,34.00672913
Estonia,2000,35.40885162
Estonia,2001,33.35750961
Estonia,2002,39.90460968
Estonia,2003,42.54438019
Estonia,2004,40.62319946
Estonia,2005,43.54027176
Estonia,2006,42.85713959
Estonia,2007,38.67216873
Estonia,2008,42.06008911
Estonia,2009,39.75740814
Estonia,2010,39.00468063
Estonia,2011,37.75099945
Estonia,2012,36.16601181
Estonia,2014,38.6014595
Eswatini,1999,51.02040863
Eswatini,2000,53.06121826
Eswatini,2001,48.97959137
Eswatini,2002,37.77777863
Eswatini,2004,43.33332825
Eswatini,2005,50.79365158
Eswatini,2006,30
Eswatini,2013,26.47753906
Ethiopia,1999,10.97344971
Ethiopia,2000,7.817590237
Ethiopia,2002,11.24291039
Ethiopia,2003,12.05733967
Ethiopia,2004,14.97863007
Ethiopia,2005,10.76004982
Ethiopia,2008,16.37801933
Ethiopia,2010,17.32011986
Finland,1998,24.02475929
Finland,1999,25.11973953
Finland,2000,27.30602074
Finland,2001,26.77325058
Finland,2002,27.6328907
Finland,2003,30.01110077
Finland,2004,29.70767975
Finland,2006,28.46445084
Finland,2007,28.92959976
Finland,2009,29.05672073
Finland,2010,27.59066963
Finland,2011,28.80761909
Finland,2012,27.8205204
Finland,2013,27.04744911
Finland,2014,26.94033051
France,1999,31.19021988
France,2000,30.29932976
France,2002,29.65814972
France,2003,30.26988029
France,2004,28.35318947
France,2005,27.93626976
France,2006,28.12978935
France,2007,28.22190094
France,2008,28.54039955
France,2009,29.09185028
France,2012,29.84284973
France,2013,30.31476974
France,2014,30.34794998
Gambia,2004,8.510640144
Gambia,2011,49.78873062
Gambia,2012,45.65711975
Georgia,1999,39.86214828
Georgia,2000,42.34672928
Georgia,2001,41.24433899
Georgia,2002,38.71889114
Georgia,2003,39.82537079
Georgia,2004,37.85300827
Georgia,2006,38.22700882
Georgia,2007,34.55950165
Georgia,2010,40.49158859
Georgia,2012,42.1109314
Georgia,2013,38.33237076
Georgia,2014,42.73553848
Germany,1999,20.87360954
Germany,2000,21.60909081
Germany,2001,22.33054924
Germany,2002,23.03841019
Germany,2014,27.19964981
Ghana,2012,17.05979919
Ghana,2013,23.42740059
Ghana,2014,22.23656082
Greece,2004,40.47583008
Greece,2005,40.90045929
Greece,2007,44.19406891
Greece,2008,41.88394165
Greece,2010,39.52138901
Greece,2011,38.87726974
Greece,2012,37.98453903
Guatemala,2002,31.91489029
Guatemala,2007,33.79175186
Guyana,2004,30.25209999
Guyana,2005,26.33745003
Guyana,2006,33.65385056
Guyana,2007,35.11111069
Guyana,2008,28.89908028
Guyana,2009,29.66506958
Guyana,2010,24.57626915
Guyana,2011,22.45763016
Guyana,2012,25.10120964
Honduras,2003,47.97008896
Honduras,2012,39.18334961
Honduras,2013,37.11724854
Honduras,2014,39.66912079
Hong Kong,2003,25.47595978
Hong Kong,2004,25.67840004
Hong Kong,2005,25.53406906
Hong Kong,2006,25.24224091
Hungary,1999,24.57439041
Hungary,2000,22.64203072
Hungary,2001,28.96492958
Hungary,2002,27.83439064
Hungary,2003,26.89575005
Hungary,2004,28.35988998
Hungary,2005,29.98089981
Hungary,2006,27.8581295
Hungary,2008,25.68925095
Hungary,2009,28.7173996
Hungary,2010,29.17827034
Hungary,2011,27.13755035
Hungary,2012,27.82336998
Hungary,2014,29.09494972
Iceland,1999,35.40856171
Iceland,2000,37.89173889
Iceland,2001,35.62340927
Iceland,2002,33.33332825
Iceland,2003,35.85366058
Iceland,2004,38.12636185
Iceland,2005,37.20930099
Iceland,2006,39.38776016
Iceland,2007,34.21052933
Iceland,2008,35.0305481
Iceland,2009,36.72655106
Iceland,2010,43.30218124
Iceland,2012,35.19021988
India,2013,42.07828903
Indonesia,2014,37.01564026
Iran,2004,29.72689056
Iran,2005,37.090271
Iran,2006,33.74367905
Iran,2007,37.090271
Iran,2009,38.05747986
Iran,2011,28.37537003
Iran,2012,26.90139008
Iran,2013,32.04804993
Iran,2014,31.97934914
Iraq,2004,16.26728058
Ireland,1998,34.96332932
Ireland,1999,38.63800812
Ireland,2000,37.90768051
Ireland,2001,36.35845947
Ireland,2002,35.46234894
Ireland,2003,34.67353058
Ireland,2004,31.2618103
Ireland,2005,30.46685028
Ireland,2006,29.13109016
Ireland,2007,31.25312996
Ireland,2008,30.38096046
Ireland,2009,30.73724937
Ireland,2010,28.71795082
Ireland,2012,28.6104908
Israel,1999,29.2340107
Israel,2000,30.90781975
Italy,1998,37.83628845
Italy,1999,37.1117897
Italy,2000,36.56148911
Italy,2001,36.32046127
Italy,2002,35.71883011
Italy,2003,35.72711182
Italy,2004,36.38928986
Italy,2005,37.10121155
Italy,2006,37.57460022
Italy,2007,38.08533096
Italy,2008,39.0282402
Italy,2011,39.98741913
Italy,2012,45.17876053
Japan,1998,12.17395973
Japan,1999,12.61727047
Japan,2000,12.92644024
Japan,2001,13.78316975
Japan,2002,14.16071987
Japan,2003,14.42634964
Japan,2004,14.60828018
Japan,2005,14.66950035
Japan,2006,14.61911011
Japan,2007,14.36408043
Japan,2008,14.18628025
Japan,2009,14.1137104
Japan,2010,14.34784031
Japan,2011,14.54979992
Japan,2012,14.36723995
Japan,2013,14.58728027
Japan,2014,14.6686697
Jordan,2004,37.28865814
Jordan,2005,34.71697998
Jordan,2007,40.27632904
Jordan,2011,44.62335968
Kazakhstan,2013,33.98987961
Kazakhstan,2014,30.99604034
Kazakhstan,2015,32.38766098
Kenya,2000,19.75575066
Kenya,2001,18.55302048
Kuwait,2013,28.1764698
Kyrgyzstan,1999,50.46361923
Kyrgyzstan,2001,45.3190918
Kyrgyzstan,2002,50.13798904
Kyrgyzstan,2003,44.06230164
Kyrgyzstan,2004,45.44095993
Kyrgyzstan,2005,56.89350128
Kyrgyzstan,2006,44.21358109
Kyrgyzstan,2007,40.24842072
Kyrgyzstan,2008,42.40254974
Kyrgyzstan,2009,42.43415833
Kyrgyzstan,2010,41.37981033
Kyrgyzstan,2011,39.14347076
Kyrgyzstan,2012,41.69013977
Kyrgyzstan,2013,33.05379868
Laos,1999,20.05141068
Laos,2000,12.23880959
Laos,2001,15.60284042
Laos,2004,21.31661034
Laos,2005,13.21909046
Laos,2006,14.72457981
Laos,2009,15.96922016
Laos,2011,18.5280304
Laos,2012,17.42749977
Laos,2013,19.98180962
Laos,2014,24.23913002
Latvia,1999,36.18824005
Latvia,2000,31.38625908
Latvia,2001,41.1645813
Latvia,2002,39.16189957
Latvia,2003,37.80007172
Latvia,2004,32.74364853
Latvia,2005,32.80487823
Latvia,2006,32.42705917
Latvia,2007,32.69781113
Latvia,2008,32.20006943
Latvia,2009,31.81818008
Latvia,2010,31.5443306
Latvia,2011,29.02564049
Latvia,2012,30.08937073
Latvia,2013,30.75729942
Latvia,2014,31.55201912
Lebanon,2000,31.68778992
Lebanon,2001,32.15417099
Lebanon,2002,31.96846008
Lebanon,2004,38.03575134
Lebanon,2005,29.21726036
Lebanon,2006,33.32246017
Lebanon,2007,34.81998825
Lebanon,2008,37.2240181
Lebanon,2009,43.75498962
Lebanon,2010,42.91339111
Lebanon,2011,43.17380142
Lesotho,2012,30.33292007
Lesotho,2013,37.93103027
Lesotho,2014,31.58844948
Liberia,2000,64.40061951
Liberia,2010,22.84643936
Liberia,2012,35.22013092
Liechtenstein,2003,36
Liechtenstein,2004,50
Liechtenstein,2006,19.56521988
Liechtenstein,2007,30.43478012
Liechtenstein,2008,25.80644989
Liechtenstein,2009,25.80644989
Liechtenstein,2010,62.16215897
Liechtenstein,2011,44.44443893
Liechtenstein,2012,40.67797089
Liechtenstein,2014,51.06383133
Lithuania,1999,37.88267136
Lithuania,2000,35.90798187
Lithuania,2001,35.65835953
Lithuania,2002,36.87255859
Lithuania,2003,35.74760056
Lithuania,2004,35.64226151
Lithuania,2005,35.17493057
Lithuania,2006,31.56669998
Lithuania,2007,32.47652817
Lithuania,2008,33.45246887
Lithuania,2009,30.30981064
Lithuania,2010,28.7003994
Lithuania,2011,28.81665039
Lithuania,2012,27.24267006
Lithuania,2013,26.68042946
